CRN,DRINKING_D,COLLISION_,FATAL_OR_M,OVERTURNED,CELL_PHONE,SPEEDING,AGGRESSIVE,DRIVER1617,DRIVER65PLUS,AREAKEY,PCTBACHMOR,MEDHHINC
200806719,0,7,0,0,0,0,0,0,0,421010001001,64.47370000000,49107.00000000000
200807695,0,7,1,0,0,0,1,0,0,421010001001,64.47370000000,49107.00000000000
200808809,0,8,0,0,0,0,0,0,0,421010001001,64.47370000000,49107.00000000000
200809857,0,5,0,0,0,0,1,0,0,421010001001,64.47370000000,49107.00000000000
200812736,0,1,0,0,0,0,0,0,0,421010001001,64.47370000000,49107.00000000000
200907381,1,7,1,0,0,0,0,0,1,421010001001,64.47370000000,49107.00000000000
200908870,0,1,0,0,0,0,1,0,0,421010001001,64.47370000000,49107.00000000000
200909137,0,4,0,0,0,0,1,0,0,421010001001,64.47370000000,49107.00000000000
200909193,0,1,0,0,0,0,1,0,0,421010001001,64.47370000000,49107.00000000000
200910125,0,1,0,0,0,0,1,0,0,421010001001,64.47370000000,49107.00000000000
200911237,0,1,0,0,0,0,1,0,0,421010001001,64.47370000000,49107.00000000000
201002639,1,7,0,0,0,0,1,0,0,421010001001,64.47370000000,49107.00000000000
201003187,0,1,0,0,0,0,0,0,0,421010001001,64.47370000000,49107.00000000000
201004038,0,0,0,0,0,0,0,0,0,421010001001,64.47370000000,49107.00000000000
201004182,0,1,0,0,0,0,0,0,0,421010001001,64.47370000000,49107.00000000000
201004252,1,7,0,0,0,0,0,0,0,421010001001,64.47370000000,49107.00000000000
201004549,1,7,0,0,0,0,0,0,0,421010001001,64.47370000000,49107.00000000000
201005303,0,7,1,1,0,0,1,0,0,421010001001,64.47370000000,49107.00000000000
201006066,0,1,0,0,0,0,1,0,0,421010001001,64.47370000000,49107.00000000000
201006325,0,1,0,0,0,0,0,0,0,421010001001,64.47370000000,49107.00000000000
201009602,0,7,0,0,0,0,1,0,0,421010001001,64.47370000000,49107.00000000000
201010362,0,0,0,0,0,0,0,0,0,421010001001,64.47370000000,49107.00000000000
201100215,0,7,0,0,0,0,1,0,0,421010001001,64.47370000000,49107.00000000000
201104806,0,7,0,0,0,0,0,0,0,421010001001,64.47370000000,49107.00000000000
201109087,1,7,0,0,0,0,1,0,0,421010001001,64.47370000000,49107.00000000000
201109162,0,7,0,0,0,0,0,0,0,421010001001,64.47370000000,49107.00000000000
201110237,0,1,0,0,0,0,1,0,0,421010001001,64.47370000000,49107.00000000000
201200524,0,7,0,0,0,0,1,0,0,421010001001,64.47370000000,49107.00000000000
201201441,0,7,0,0,0,0,1,0,0,421010001001,64.47370000000,49107.00000000000
201201804,0,7,0,0,0,0,1,0,0,421010001001,64.47370000000,49107.00000000000
201201857,0,1,0,0,0,0,1,0,1,421010001001,64.47370000000,49107.00000000000
201201893,0,5,0,0,0,0,1,0,0,421010001001,64.47370000000,49107.00000000000
201202685,0,7,0,0,0,0,1,0,0,421010001001,64.47370000000,49107.00000000000
201205408,0,5,0,0,0,0,1,0,0,421010001001,64.47370000000,49107.00000000000
201207092,0,5,0,0,0,0,1,0,1,421010001001,64.47370000000,49107.00000000000
201207143,0,7,0,0,0,0,1,0,0,421010001001,64.47370000000,49107.00000000000
201208053,0,7,0,0,0,1,1,0,0,421010001001,64.47370000000,49107.00000000000
201208096,1,7,0,0,0,0,1,0,0,421010001001,64.47370000000,49107.00000000000
201208254,0,5,0,0,0,0,1,0,1,421010001001,64.47370000000,49107.00000000000
201208365,1,5,0,0,0,0,1,0,0,421010001001,64.47370000000,49107.00000000000
201208618,0,1,0,0,0,0,1,0,0,421010001001,64.47370000000,49107.00000000000
201209363,0,7,1,0,0,0,1,0,0,421010001001,64.47370000000,49107.00000000000
201209695,0,1,0,0,0,0,1,0,0,421010001001,64.47370000000,49107.00000000000
201210283,0,7,0,0,0,0,1,0,0,421010001001,64.47370000000,49107.00000000000
201210940,0,7,0,0,0,0,1,0,0,421010001001,64.47370000000,49107.00000000000
201210940,0,1,0,0,0,0,1,0,0,421010001001,64.47370000000,49107.00000000000
201211191,1,5,0,1,0,0,1,0,0,421010001001,64.47370000000,49107.00000000000
201212169,0,7,0,1,0,0,1,0,0,421010001001,64.47370000000,49107.00000000000
201212509,0,1,0,0,0,0,1,0,0,421010001001,64.47370000000,49107.00000000000
201212983,0,1,0,0,0,0,1,0,0,421010001001,64.47370000000,49107.00000000000
201301560,0,1,0,0,0,0,1,0,0,421010001001,64.47370000000,49107.00000000000
201301561,0,0,0,0,0,0,0,0,0,421010001001,64.47370000000,49107.00000000000
200805652,0,1,0,0,0,0,1,0,0,421010001002,78.78050000000,46304.00000000000
200810364,0,7,1,1,0,0,1,0,0,421010001002,78.78050000000,46304.00000000000
200900099,0,4,0,0,0,0,1,0,1,421010001002,78.78050000000,46304.00000000000
200903339,0,1,0,0,0,0,1,0,0,421010001002,78.78050000000,46304.00000000000
200907903,0,4,0,0,0,0,1,0,0,421010001002,78.78050000000,46304.00000000000
200911154,0,5,0,0,0,0,0,0,0,421010001002,78.78050000000,46304.00000000000
200913168,1,7,0,1,0,0,0,0,0,421010001002,78.78050000000,46304.00000000000
201002870,0,1,0,0,0,0,1,0,0,421010001002,78.78050000000,46304.00000000000
201008077,0,7,0,0,0,0,0,0,0,421010001002,78.78050000000,46304.00000000000
201008344,0,7,0,0,0,0,1,0,0,421010001002,78.78050000000,46304.00000000000
201010900,0,7,0,0,0,0,0,0,0,421010001002,78.78050000000,46304.00000000000
201106613,1,5,0,0,0,0,0,0,0,421010001002,78.78050000000,46304.00000000000
201109017,0,7,0,0,0,0,1,0,0,421010001002,78.78050000000,46304.00000000000
201110223,0,7,0,0,0,0,1,0,0,421010001002,78.78050000000,46304.00000000000
201110473,0,7,0,0,0,0,1,0,0,421010001002,78.78050000000,46304.00000000000
201112789,0,7,0,0,0,0,1,0,0,421010001002,78.78050000000,46304.00000000000
201113260,0,8,0,0,0,0,0,0,0,421010001002,78.78050000000,46304.00000000000
201200528,0,6,0,0,0,0,1,0,1,421010001002,78.78050000000,46304.00000000000
201202619,0,4,0,0,0,0,0,0,0,421010001002,78.78050000000,46304.00000000000
201206654,0,5,0,0,0,0,1,0,0,421010001002,78.78050000000,46304.00000000000
200804442,0,4,0,0,0,0,1,0,0,421010001004,45.00000000000,26875.00000000000
